,Unnamed: 0,Rk,Team,Conf,G,Rec,AdjOE,AdjDE,Barthag,EFG%,EFGD%,TOR,TORD,ORB,DRB,FTR,FTRD,2P%,2P%D,3P%,3P%D,Adj T.,WAB
123,123,120,Grand Canyon,WAC,33,20-14,106.2126,101.1124,.6386120,51.4136,49.9133,17.387,19.3117,29150,25.763,33.7166,29.788,52.574,48.494,33.1234,35.2220,69.1155,-5.7135
201,201,195,Green Bay,Horz,32,18-16,103.1178,105.7227,.4284195,51.2148,53281,16.757,19137,25277,30.8273,35113,32.6170,51136,52.3265,34.3173,36266,75.19,-8.6177
204,204,198,Hampton,BSth,28,15-16,106.6113,109.9295,.4137198,49.1246,51.7214,14.511,16.6290,28.2183,27.4142,34.7132,37.7285,47.8258,51.4231,34193,34.8199,72.240,-11.6231
213,213,206,Hartford,AE,32,18-15,106.9105,110.7305,.4026206,54.240,52.6258,17.8122,19.3117,25.3268,31279,33.1184,29.993,51.5109,53.2288,38.222,34.4175,68.1220,-9.2194
118,118,115,Harvard,Ivy,29,19-11,104.4149,98.993,.6523115,53.267,50.4160,22.5333,17.8222,28.4174,22.45,31.6226,33.5198,52.286,49.7148,36.474,34.4175,68.3209,-3.494
210,210,203,Hawaii,BW,29,18-13,102.4190,105.9232,.4055203,52.3101,50.8172,17.6112,17.4245,26.9224,24.731,31.2232,32.9180,52.286,50.3184,35136,34.5180,67.4253,-8.6178
235,235,227,High Point,BSth,29,16-15,98.2274,103.8173,.3474227,49.1246,50.3158,20.4294,16.3305,34.124,25.553,33.8162,29.175,51136,51.5234,30.3335,32.670,64.9334,-10.5211
107,107,104,Hofstra,CAA,34,27-8,115.018,108.3270,.6658104,55.913,52.1234,13.84,18.3182,26.8227,29.9250,37.753,2512,54.537,51.5234,38.714,35.3224,68.8178,-1.868
256,256,248,Holy Cross,Pat,33,16-17,99.6253,106.5242,.3150248,52.787,53.8312,16.128,22.122,20.6346,32.9325,23.1348,26.827,52.574,52.2262,35.4113,37.3313,64.8336,-11.3225
11,11,12,"Houston 3 seed, ✅",Amer,34,31-3,114.719,91.213,.933712,52.1106,42.41,16.862,18.2186,34.720,26.279,31.9214,37.6283,50.8147,43.15,35.995,27.62,67.3255,7.210
287,287,277,Houston Baptist,Slnd,28,12-18,102.1194,111.8319,.2618277,49.6223,55.7339,19.5241,20.273,33.829,29.6241,42.410,35.7245,49.3210,54.3322,33.4222,39345,74.912,-13261
317,317,306,Howard,MEAC,31,17-17,101.4212,114.1340,.2053306,48.5274,51.8220,16.862,19.888,29.2138,33.4335,33.8162,37.8289,45.5326,50.8206,36.856,35.5238,72.334,-12.9256
208,208,201,IUPUI,Horz,31,16-17,102.1195,105.5221,.4070201,50.2194,52.6258,19.6247,19.6102,34.322,27.8159,35.2106,33.2190,50.5161,50.7202,33239,37305,70.2107,-10.6213
358,358,346,Idaho,BSky,29,5-27,94.3323,118.1352,.0698346,50.3189,53.7306,20275,13.3353,24.2298,32310,28.2296,33.1188,46.5302,55.4337,37.638,34.3172,66.4300,-22.5352
325,325,314,Idaho St.,BSky,28,11-19,102.5187,116.6348,.1848314,52112,56.1342,17.6112,15341,25.8253,29.8244,28.8285,30.6117,50.4170,54.2320,36.284,39.6351,68.2215,-14.4288
67,67,66,Illinois,B10,33,12-21,110.056,98.994,.773766,49.6223,52.2245,18.4160,21.823,29.1144,31.9305,29.5274,42.4337,48.2248,53.6303,34.5165,3389,71.754,-5.4127
180,180,175,Illinois Chicago,Horz,30,16-16,100.4234,101.3132,.4741175,53.364,48.361,20275,17.6230,24.9278,30.4267,27.8301,42334,54.145,46.845,34.9146,33.8136,71.462,-10.2207
215,215,208,Illinois St.,MVC,32,17-16,100.2239,103.9176,.3966208,49.1246,51.3196,18.4160,18.2186,26248,26.176,28.6287,32.8177,49.1222,51.5234,32.7250,34148,68223,-9.2193
353,353,341,Incarnate Word,Slnd,27,6-25,97.3285,118.8353,.0914341,51.9118,59.3353,24.1348,19.797,23.1321,32.7322,34.8124,39.1309,51.4113,61.2353,35.1131,37.6324,66.3306,-20.2343
49,49,49,Indiana,B10,33,18-15,108.476,95.337,.815749,51.4136,48.465,18136,18.1196,28.4174,28.3176,34.8124,28.661,53.653,47.770,31.3308,3389,68.3208,0.250
212,212,205,Indiana St.,MVC,29,15-16,100.8224,104.3189,.4031205,48.6267,51.5205,18.6181,19.4112,23.7307,27.2132,35.894,38290,46.7296,52.1259,35.6103,33.7133,69.9117,-9.7200
219,219,212,"Iona 16 seed, ✅",MAAC,32,17-15,104.8146,109.1281,.3875212,5373,52.3248,17.387,18.6159,25.7257,30.1259,37.166,28.870,53.358,50.2180,35.1131,36.8298,71.947,-10.4209
41,41,41,"Iowa 10 seed, ✅",B10,33,22-11,116.414,100.4114,.845041,52.691,51.6207,17.278,18.5166,29.9110,29220,42.312,28.870,51.5109,53.4295,36.189,32.670,70.884,3.327
18,18,19,"Iowa St. 6 seed, ✅",B12,34,23-11,118.710,97.065,.910519,54.926,48.570,16.233,18.8151,28.5171,30255,30.3256,23.63,5526,47.153,36.567,33.8136,69164,3.826
334,334,323,Jackson St.,SWAC,30,13-19,89.8340,104.3187,.1525323,44.6344,49.2107,20.4294,20.756,28.7164,27117,34.3143,44345,45.9319,46.845,27.9352,35.5238,66.8286,-14.6292
292,292,282,Jacksonville,ASun,30,12-20,97.1291,106.4239,.2582282,49.6223,52.1234,19.9264,18.2186,28.3180,27.4142,30.5250,28.870,51136,50.3184,31.2312,37305,72.335,-14.4289
133,133,129,Jacksonville St.,OVC,31,24-9,103.4173,99.5104,.6084129,50.5177,48.778,18.8194,20.465,3342,25.658,30.2260,30.1102,52.381,47.770,31319,33.3105,68.9169,-3.596
