,Unnamed: 0,Rk,Team,Conf,G,Rec,AdjOE,AdjDE,Barthag,EFG%,EFGD%,TOR,TORD,ORB,DRB,FTR,FTRD,2P%,2P%D,3P%,3P%D,Adj T.,WAB
9,9,10,"Houston 3 seed, ✅",Amer,10,8–2,118.114,91.923,.947210,53.870,43.33,1676,18.3136,35.820,27.2153,28.5254,48.2348,48.6227,42.811,40.814,29.417,67202,1.625
274,274,265,Houston Baptist,Slnd,10,5–5,104.6154,113.8318,.2753265,51.6139,55.4319,15.348,18.9105,32.850,26.1121,4220,29.7116,49.6184,52.8279,37.384,40.4331,76.22,-4.1234
308,308,298,Howard,MEAC,10,6–4,103.5177,115.7334,.2170298,50.7171,51.4206,16.9120,21.625,29.5128,38.2352,37.453,39.1301,45.6305,50.3193,41.69,35.2193,72.125,-3.2192
272,272,263,IUPUI,Horz,10,2–8,102.3201,111.2297,.2778263,50.1197,54.9311,18.9237,17.5175,37.510,29.9245,30.1216,2996,50.9127,50.6201,32.4254,40.8339,67.6172,-6.3323
359,359,347,Idaho,BSky,10,1–9,93.0329,118.3346,.0591347,50.6176,54.7304,20.8308,13.5341,21.6324,30.1251,27.7273,35.9254,45.3311,57.4342,39.334,34.5164,67202,-8.1349
328,328,317,Idaho St.,BSky,10,3–7,103.4178,118.2345,.1771317,52.989,57.7344,16.291,15.2301,22.8301,27.7174,28.9244,26.155,51.991,52258,36.3113,43.8350,68.9112,-6.1317
81,81,79,Illinois,B10,10,4–6,110.372,102.0130,.711579,48.6247,51.1195,17.5154,17.5175,26.9195,31.7293,33139,35.1243,47.1272,54.4313,34.3177,30.337,69.591,-0.883
142,142,138,Illinois Chicago,Horz,10,6–4,100.1245,97.679,.5730138,53.477,46.342,20.9312,17.6169,25.6242,30249,27.4281,42.5327,54.337,4657,34.7163,31.156,70.560,-2.4158
300,300,290,Illinois St.,MVC,10,3–7,94.7316,105.0191,.2332290,45.2323,52.2235,20287,17.7164,27.4181,24.771,29.8220,31.5166,47.8255,49.2156,27348,38288,66.3239,-5.3285
356,356,344,Incarnate Word,Slnd,10,0–10,96.9289,121.9353,.0666344,54.349,59351,25.8352,17.3185,21.3327,30.4259,38.248,43.6337,53.356,58.7349,37.480,39.8326,66.4233,-8.9353
53,53,52,Indiana,B10,10,5–5,110.076,94.953,.845752,48.3259,49.4122,15.765,17.3185,30.590,29.2218,33.2137,31.1157,51.796,47.284,28.3342,35.5207,66.8214,-0.158
212,212,205,Indiana St.,MVC,10,4–6,100.6235,104.0171,.4037205,47.6291,54285,16.182,2135,21.1331,24.462,31.5182,40.9317,46.1293,54.9322,33.9196,34.9182,69.786,-4.3242
148,148,144,"Iona 16 seed, ✅",MAAC,10,10–0,106.6130,104.2174,.5640144,53.379,50143,15.560,18.5125,27.7175,26.5133,35.588,18.31,50.3157,47.6101,38.164,35.2193,68.6129,0.936
84,84,82,"Iowa 10 seed, ✅",B10,10,4–6,111.849,103.5158,.707282,47.5296,54.7304,17.6160,18.6115,29.4134,31.4287,35.685,31.6171,46.3287,55.4324,33233,36224,68.8119,-0.883
30,30,30,"Iowa St. 6 seed, ✅",B12,10,5–5,122.17,101.2124,.897230,53.966,49.8138,16.5102,16.2254,29.5128,34.4333,29.1239,23.425,52.186,46.465,3867,37250,67.6172,0.936
340,340,328,Jackson St.,SWAC,10,4–6,92.5333,110.2281,.1181328,46.6309,49.2114,18190,20.644,29.5128,29.6229,42.914,46.7346,46.2290,43.619,31.9274,40.4331,64327,-5.7306
282,282,273,Jacksonville,ASun,10,3–7,96.7292,106.2213,.2530273,49.5220,51.8220,19.4259,19.483,30.590,25.489,25.8307,31.2159,49.3200,49.9177,33.3222,36.6240,70.464,-5.4289
133,133,129,Jacksonville St.,OVC,10,8–2,107.2120,103.8165,.5935129,52.989,50.7180,18.6223,18.6115,38.16,25.8106,27.6274,27.671,54.238,48.9142,33.5212,35.7213,67.3189,-192
